年月別,商品性質別分類,原始值,年增率[%]
87年1月,總指數[含食物],83.51,-
87年1月,商品類[含食物],79.5,-
87年1月,商品類[不含食物],102.97,-
87年1月,商品類-非耐久性消費品[含食物],64.81,-
87年1月,商品類-非耐久性消費品[不含食物],85.26,-
87年1月,商品類-半耐久性消費品,96.65,-
87年1月,商品類-耐久性消費品,150.14,-
87年1月,服務類,86.5,-
87年1月,服務類[不含食物],88.88,-
87年1月,服務類-外食費,75.28,-
87年1月,服務類-衣著,77.07,-
87年1月,服務類-居住,100.14,-
87年1月,服務類-交通及通訊,83.39,-
87年1月,服務類-醫藥保健,67.43,-
87年1月,服務類-教養娛樂,68.09,-
87年1月,服務類-教養,80.56,-
87年1月,服務類-娛樂,57.04,-
87年1月,服務類-雜項,107.78,-
87年2月,總指數[含食物],81.91,-
87年2月,商品類[含食物],79.69,-
87年2月,商品類[不含食物],101.7,-
87年2月,商品類-非耐久性消費品[含食物],65.94,-
87年2月,商品類-非耐久性消費品[不含食物],85.54,-
87年2月,商品類-半耐久性消費品,92.13,-
87年2月,商品類-耐久性消費品,151.17,-
87年2月,服務類,83.51,-
87年2月,服務類[不含食物],85.13,-
87年2月,服務類-外食費,76.1,-
87年2月,服務類-衣著,77.07,-
87年2月,服務類-居住,99.16,-
87年2月,服務類-交通及通訊,83.02,-
87年2月,服務類-醫藥保健,67.43,-
87年2月,服務類-教養娛樂,65.86,-
87年2月,服務類-教養,80.56,-
87年2月,服務類-娛樂,53.19,-
87年2月,服務類-雜項,81.92,-
87年3月,總指數[含食物],82.16,-
87年3月,商品類[含食物],80.58,-
87年3月,商品類[不含食物],101.38,-
87年3月,商品類-非耐久性消費品[含食物],67.35,-
87年3月,商品類-非耐久性消費品[不含食物],85.59,-
87年3月,商品類-半耐久性消費品,90.96,-
87年3月,商品類-耐久性消費品,151.51,-
87年3月,服務類,83.23,-
87年3月,服務類[不含食物],85.24,-
87年3月,服務類-外食費,73.82,-
87年3月,服務類-衣著,77.07,-
87年3月,服務類-居住,99.19,-
87年3月,服務類-交通及通訊,82.34,-
87年3月,服務類-醫藥保健,67.43,-
87年3月,服務類-教養娛樂,66.41,-
87年3月,服務類-教養,80.58,-
87年3月,服務類-娛樂,54.12,-
87年3月,服務類-雜項,81.92,-
87年4月,總指數[含食物],82.36,-
87年4月,商品類[含食物],81.6,-
87年4月,商品類[不含食物],104.1,-
87年4月,商品類-非耐久性消費品[含食物],67.1,-
87年4月,商品類-非耐久性消費品[不含食物],85.89,-
87年4月,商品類-半耐久性消費品,98.99,-
87年4月,商品類-耐久性消費品,150.29,-
87年4月,服務類,82.78,-
87年4月,服務類[不含食物],84.7,-
87年4月,服務類-外食費,73.83,-
87年4月,服務類-衣著,71.08,-
87年4月,服務類-居住,99.27,-
87年4月,服務類-交通及通訊,81.04,-
87年4月,服務類-醫藥保健,67.43,-
87年4月,服務類-教養娛樂,65.05,-
87年4月,服務類-教養,80.58,-
87年4月,服務類-娛樂,51.77,-
87年4月,服務類-雜項,81.92,-
87年5月,總指數[含食物],82.54,-
87年5月,商品類[含食物],81.06,-
87年5月,商品類[不含食物],103.18,-
87年5月,商品類-非耐久性消費品[含食物],66.95,-
87年5月,商品類-非耐久性消費品[不含食物],85.94,-
87年5月,商品類-半耐久性消費品,97.37,-
87年5月,商品類-耐久性消費品,148.6,-
87年5月,服務類,83.53,-
87年5月,服務類[不含食物],85.6,-
87年5月,服務類-外食費,73.83,-
87年5月,服務類-衣著,69.49,-
87年5月,服務類-居住,99.47,-
87年5月,服務類-交通及通訊,80.85,-
87年5月,服務類-醫藥保健,67.59,-
87年5月,服務類-教養娛樂,66.28,-
87年5月,服務類-教養,80.58,-
87年5月,服務類-娛樂,53.9,-
87年5月,服務類-雜項,86.49,-
87年6月,總指數[含食物],83.47,-
87年6月,商品類[含食物],83.63,-
87年6月,商品類[不含食物],104.31,-
87年6月,商品類-非耐久性消費品[含食物],70.18,-
87年6月,商品類-非耐久性消費品[不含食物],87.74,-
87年6月,商品類-半耐久性消費品,97.77,-
87年6月,商品類-耐久性消費品,149.56,-
87年6月,服務類,83.19,-
87年6月,服務類[不含食物],85.2,-
87年6月,服務類-外食費,73.83,-
87年6月,服務類-衣著,70.35,-
87年6月,服務類-居住,99.65,-
87年6月,服務類-交通及通訊,81.14,-
87年6月,服務類-醫藥保健,67.59,-
87年6月,服務類-教養娛樂,65.6,-
87年6月,服務類-教養,80.58,-
87年6月,服務類-娛樂,52.72,-
87年6月,服務類-雜項,83.36,-
87年7月,總指數[含食物],83,-
87年7月,商品類[含食物],81.89,-
87年7月,商品類[不含食物],101.94,-
87年7月,商品類-非耐久性消費品[含食物],69.28,-
